Filename,Material,Thickness,Energy,Displacements,Energydeposit
cdteneutron-1900-280-96,cdteneutron,1900,280,11354.983224641555,18151.187189672557
cdte-1700-1330-96,cdte,1700,1330,1211873.0463689258,928032.5375363944
cdteneutron-1100-930-96,cdteneutron,1100,930,6838.483670760622,63077.94403241462
si-668-430-96,si,668,430,288386.88370812504,1691346.7561053077
si-784-930-96,si,784,930,1542899.094711079,1436188.3696774188
cdte-1600-480-96,cdte,1600,480,28382.74757055867,1175161.5320550785
si-726-880-96,si,726,880,1623564.4013348545,1476998.9978247203
cdteneutron-1300-780-96,cdteneutron,1300,780,7126.580226479018,44804.62340433541
cdteneutron-1200-730-96,cdteneutron,1200,730,7250.194638619761,58651.06910673466
si-494-480-96,si,494,480,704078.5896031882,1771970.0916487412
cdte-1300-930-96,cdte,1300,930,2314213.420046479,987672.2124139481
cdte-1000-930-96,cdte,1000,930,2329975.763822398,1057588.8421168877
cdte-1200-730-96,cdte,1200,730,28566.157688619758,1053826.3137939097
cdteneutron-2000-1030-96,cdteneutron,2000,1030,9185.949763004635,71823.35974292432
cdteneutron-1500-630-96,cdteneutron,1500,630,7702.719162195567,27298.969250216865
cdteneutron-1700-830-96,cdteneutron,1700,830,8386.856128925732,49203.915608367526
cdteneutron-1400-130-96,cdteneutron,1400,130,7390.987844843127,9344.176561823126
si-726-480-96,si,726,480,863917.3369348545,1578159.556045095
si-320-230-96,si,320,230,1793.2243982516052,809150.9932467792
cdte-1100-480-96,cdte,1100,480,28880.83203076062,1207007.4713960406
cdteneutron-2000-480-96,cdteneutron,2000,480,14749.730693004636,74893.63130556162
si-436-330-96,si,436,330,205804.84177645872,2120073.637867229
si-900-130-96,si,900,130,1819.6953645391893,1746684.834915857
cdte-1200-580-96,cdte,1200,580,29466.597588619763,1125440.1969620916
si-436-680-96,si,436,680,2009477.4009764588,1774134.5984969002
cdteneutron-1800-580-96,cdteneutron,1800,580,8612.841846277688,48368.212119064185
cdteneutron-1600-980-96,cdteneutron,1600,980,8252.58852055867,47641.626154915866
si-552-680-96,si,552,680,1962030.2086546652,1669456.6967689765
si-726-230-96,si,726,230,2646.7363348543986,1324956.9388392013
si-900-30-96,si,900,30,1819.6953645391893,90627.9953645392
cdteneutron-1700-330-96,cdteneutron,1700,330,8517.904008925732,21505.643974471233
si-610-1330-96,si,610,1330,1655140.6188813956,1667091.995936029
cdteneutron-2000-330-96,cdteneutron,2000,330,9172.787273004633,30205.43946966763
cdteneutron-1700-1030-96,cdteneutron,1700,1030,8670.582458925735,50742.779321790025
cdte-1900-80-96,cdte,1900,80,3839.745394641557,874463.2073834748
cdte-1200-1130-96,cdte,1200,1130,2332478.6232886193,996894.9203151383
cdte-1400-1130-96,cdte,1400,1130,2256654.123454843,959902.6941338031
cdte-1700-1180-96,cdte,1700,1180,1821015.8609089255,914720.7821053492
cdteneutron-1500-380-96,cdteneutron,1500,380,8562.166982195566,31610.219940172567
cdteneutron-1300-1080-96,cdteneutron,1300,1080,7173.551026479018,37539.65171249142
si-320-1280-96,si,320,1280,1891833.8254982515,1933217.618600403
cdteneutron-1900-930-96,cdteneutron,1900,930,8912.499104641558,57899.589440643555
cdte-2000-180-96,cdte,2000,180,4041.750503004634,1832613.4375343812
cdte-1200-530-96,cdte,1200,530,27597.10898861976,1162733.9410088207
si-726-1080-96,si,726,1080,1569499.1053348542,1514365.3518148465
si-552-230-96,si,552,230,3569.2895546654527,1145836.4891974658
cdteneutron-1400-630-96,cdteneutron,1400,630,7386.900934843128,27442.02166443592
